fileprefix,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,middle_x,middle_y
NobalWheat_NUE_10-8-2021_20m_transparent_reflectance,929,1462,2146,891,2356,4561,3590,3989,2035,2773
NobalWheat_NUE_12-7-2021_20m_transparent_reflectance,952,1303,2075,786,2273,4164,3416,3639,1976,2511
NobalWheat_NUE_14-6-201_20m_transparent_reflectance,1079,1522,2238,987,2448,4483,3625,3935,2141,2773
NobalWheat_NUE_19-7-2021_20m_transparent_reflectance,822,1199,1980,667,2185,4153,3360,3607,1876,2446
NobalWheat_NUE_21-6-2021_20m_transparent_reflectance,1020,1492,2097,998,2286,4243,3379,3734,2002,2655
NobalWheat_NUE_26-7-2021_20m_transparent_reflectance,1313,1325,2421,815,2617,4161,3748,3638,2325,2523
Nobalwheat_NUE_31-5-2021_20m_transparent_reflectance,1152,1554,2326,1016,2534,4549,3726,3995,2223,2818
NobalWheat_NUE_4-8-2021_20m_transparent_reflectance,926,1627,2169,1056,2391,4803,3653,4216,2061,2970
NobalWheat_NUE_5-7-2021_20m_transparent_reflectance,1548,1175,2673,655,2877,4050,4024,3520,2577,2389
NobalWheat_NUE_7-6-2021_20m_transparent_reflectance,597,990,1779,438,2012,4053,3231,3485,1649,2284
